%Path: /HepData/3639/d1-x1-y1
%Location: T 1, F 1
%ABS(ETARAP) : 0.0 TO 0.4 : 0.4 TO 0.8 : 0.8 TO 1.2 : 1.2 TO 1.6 : 1.6 TO 2.0
%RE : PBAR P --> JET X
SQRTS 630.0 
RAP 0.0  0.4 
YEAR 1991
JETALGO CONE
JETALGR 0
EXP UA2
label UA2 1985
%
%x: PT IN GEV
%y : D2(SIG)/D(PT)/D(ETARAP) IN PB/GEV
%x	xlow	xhigh	y	dy+	dy-	
45.0	45.0	45.0	7790.0	+1170.0	-1170.0	
47.0	47.0	47.0	6050.0	+868.0	-868.0	
49.0	49.0	49.0	4730.0	+661.0	-661.0	
51.0	51.0	51.0	3690.0	+511.0	-511.0	
53.0	53.0	53.0	2730.0	+376.0	-376.0	
55.0	55.0	55.0	2200.0	+318.0	-318.0	
57.0	57.0	57.0	1770.0	+330.0	-330.0	
59.0	59.0	59.0	1330.0	+238.0	-238.0	
61.0	61.0	61.0	1100.0	+140.0	-140.0	
63.0	63.0	63.0	837.0	+88.3	-88.3	
65.0	65.0	65.0	692.0	+70.7	-70.7	
67.0	67.0	67.0	563.0	+55.9	-55.9	
69.0	69.0	69.0	457.0	+44.1	-44.1	
71.0	71.0	71.0	367.0	+34.5	-34.5	
73.0	73.0	73.0	301.0	+27.6	-27.6	
75.0	75.0	75.0	243.0	+21.8	-21.8	
77.0	77.0	77.0	192.0	+16.9	-16.9	
79.0	79.0	79.0	155.0	+13.4	-13.4	
81.0	81.0	81.0	123.0	+10.5	-10.5	
83.0	83.0	83.0	111.0	+9.33	-9.33	
85.0	85.0	85.0	86.1	+7.22	-7.22	
87.0	87.0	87.0	70.5	+5.9	-5.9	
89.0	89.0	89.0	59.1	+4.95	-4.95	
92.0	92.0	92.0	45.4	+3.54	-3.54	
96.0	96.0	96.0	30.9	+2.42	-2.42	
100.0	100.0	100.0	23.0	+1.81	-1.81	
104.0	104.0	104.0	14.5	+1.21	-1.21	
108.0	108.0	108.0	10.4	+1.17	-1.17	
114.0	114.0	114.0	5.97	+0.668	-0.668	
124.0	124.0	124.0	2.55	+0.36	-0.36	
138.0	138.0	138.0	0.715	+0.126	-0.126	
162.0	162.0	162.0	0.0807	+0.0283	-0.0283	

