%Path: /HepData/1138/d5-x1-y1
%Measured inclusive jet cross section as a function of jet transverse momentum for absolute values of the jet rapidity from 1.6 to 2.0 for cone radius R = 0.7.
%ABS(YRAP(P=3)) : 1.6 TO 2.0
YRAP  1.6 2.0
%RE : PBAR P --> JET X
SQRTS 1960.0 
%xl	xh	y	dy+	dy-	dy+	dy-	
50.0	60.0	11591.0	+115.0	-115.0	+1564.7849999999999	-1495.239
60.0	70.0	4020.0	+72.0	-72.0	+522.6	-494.46000000000004
70.0	80.0	1555.0	+10.0	-10.0	+197.48499999999999	-188.155
80.0	90.0	664.2	+7.3	-7.3	+85.01760000000002	-81.0324
90.0	100.0	293.3	+1.5	-1.5	+38.129000000000005	-36.369200000000006
100.0	110.0	135.0	+0.9	-0.9	+17.955000000000002	-17.145
110.0	125.0	56.4	+0.23	-0.23	+7.726799999999999	-7.388399999999999
125.0	140.0	20.13	+0.14	-0.14	+2.9188499999999995	-2.7980699999999996
140.0	160.0	6.279	+0.069	-0.069	+0.979524	-0.935571
160.0	175.0	1.91	+0.017	-0.017	+0.32661	-0.31133
175.0	190.0	0.6805	+0.0095	-0.0095	+0.1272535	-0.12112900000000001
190.0	210.0	0.2176	+0.0039	-0.0039	+0.045696	-0.04352
210.0	235.0	0.04463	+0.00147	-0.00147	+0.011202130000000001	-0.01057731
235.0	260.0	0.006544	+4.97E-4	-4.97E-4	+0.00209408	-0.001943568
260.0	320.0	3.747E-4	+6.15E-5	-6.15E-5	+1.671162E-4	-1.483812E-4

